date,rain,tmax,tmin,tmean,humidity
2017-07-11,1.2,29.4,22.2,25.4,78
2017-07-12,38.0,25.2,21.6,23.0,91
2017-07-13,68.4,25.0,21.5,22.5,94
2017-07-14,6.0,24.6,21.8,22.9,94
2017-07-15,32.4,23.5,21.8,22.5,96
2017-07-16,3.0,25.1,21.5,23.0,90
2017-07-17,10.9,26.4,21.8,23.7,91
2017-07-18,6.1,28.1,22.5,24.6,89
2017-07-19,19.5,27.0,22.2,24.1,92
2017-07-20,14.0,24.2,22.5,23.2,96
2017-07-21,9.5,27.9,22.8,24.7,85
2017-07-22,5.9,27.0,23.0,24.3,87
2017-07-23,6.3,27.5,22.4,23.6,87
2017-07-24,7.0,26.6,21.8,23.2,89
2017-07-25,3.6,24.6,21.7,22.5,92
2017-07-26,4.3,23.0,21.6,22.2,94
2017-07-27,12.5,22.8,21.2,21.9,95
2017-07-28,8.5,23.9,21.0,22.4,95
2017-07-29,0.9,27.9,21.6,24.2,85
2017-07-30,1.5,27.4,21.8,24.2,85
2017-07-31,1.0,28.5,22.1,24.9,81
2017-08-01,1.6,28.3,22.4,24.8,84
2017-08-02,0.8,28.1,22.5,25.1,80
2017-08-03,4.5,27.1,22.0,24.0,83
2017-08-04,1.1,27.9,22.0,24.2,81
2017-08-05,1.9,27.4,22.0,24.6,80
2017-08-06,5.8,25.3,22.8,23.7,87
2017-08-07,19.5,26.7,22.5,23.7,92
2017-08-08,20.8,26.1,22.3,23.6,91
2017-08-09,3.2,26.6,22.2,24.3,86
2017-08-10,0.2,28.3,22.1,24.8,81
2017-08-11,1.6,26.8,22.7,24.4,84
2017-08-12,0.2,26.4,22.2,24.1,82
2017-08-13,0.8,26.9,22.1,24.2,82
2017-08-14,2.3,27.7,22.1,24.4,82
2017-08-15,1.3,27.4,21.8,24.1,87
2017-08-16,1.4,28.0,22.2,24.7,82
2017-08-17,9.5,28.8,22.0,24.8,83
2017-08-18,2.1,27.7,22.9,24.7,85
2017-08-19,21.1,27.0,22.2,24.0,94
2017-08-20,11.1,28.4,22.4,24.8,88
2017-08-21,1.3,26.9,22.1,24.2,85
2017-08-22,2.8,25.5,21.4,23.1,91
