date,rain,tmax,tmin,tmean,humidity
2017-01-04,0.0,30.2,17.5,23.5,40
2017-01-05,0.0,30.5,16.7,22.9,36
2017-01-06,0.0,30.1,15.2,22.5,37
2017-01-07,0.0,30.3,15.4,22.8,41
2017-01-08,0.0,30.3,16.1,22.7,50
2017-01-09,0.0,30.1,15.1,22.4,54
2017-01-10,0.0,29.5,16.0,22.7,48
2017-01-11,0.0,29.2,16.0,22.5,50
2017-01-12,0.0,29.6,16.0,22.7,49
2017-01-13,0.0,29.9,16.5,23.0,52
2017-01-14,0.0,28.2,18.3,23.7,54
2017-01-15,0.0,30.0,18.2,24.7,46
2017-01-16,0.0,30.1,19.0,24.4,44
2017-01-17,0.0,30.4,17.5,23.9,44
2017-01-18,0.0,29.9,18.5,23.8,38
2017-01-19,0.0,28.6,17.5,22.9,41
2017-01-20,0.0,29.9,17.5,23.2,46
2017-01-21,0.0,31.2,18.0,25.0,44
2017-01-22,0.0,31.4,20.5,25.8,41
2017-01-23,0.0,32.0,20.1,25.7,37
2017-01-24,0.0,31.5,19.2,24.8,47
2017-01-25,0.0,31.2,19.2,25.3,45
2017-01-26,0.0,28.0,21.0,24.0,46
2017-01-27,0.0,30.8,19.2,25.1,59
2017-01-28,0.0,31.6,21.5,26.1,57
2017-01-29,0.0,32.2,20.6,26.3,50
2017-01-30,0.0,32.0,20.6,26.0,42
2017-01-31,0.0,33.0,19.0,25.8,39
2017-02-01,0.0,33.5,19.5,25.9,41
2017-02-02,0.0,32.8,18.0,25.2,42
2017-02-03,0.0,31.8,18.5,25.0,43
2017-02-04,0.0,31.9,19.1,25.0,38
2017-02-05,0.0,32.0,17.6,24.6,40
2017-02-06,0.0,32.2,16.7,24.3,56
2017-02-07,0.0,32.6,17.8,25.0,50
2017-02-08,0.0,33.0,17.2,25.2,44
2017-02-09,0.0,32.8,17.4,24.9,50
2017-02-10,0.0,32.9,18.1,25.3,40
2017-02-11,0.0,32.2,17.1,24.5,57
2017-02-12,0.0,33.0,17.1,24.8,44
2017-02-13,0.0,32.2,19.8,25.1,34
2017-02-14,0.0,32.5,19.5,25.7,38
2017-02-15,0.0,32.3,20.8,26.2,39
2017-02-16,0.0,32.0,19.8,25.4,34
2017-02-17,0.0,32.8,18.4,25.2,36
2017-02-18,0.0,33.1,19.0,25.5,39
2017-02-19,0.0,33.5,18.0,26.0,37
2017-02-20,0.0,33.6,18.4,25.7,43
2017-02-21,0.0,34.7,19.0,25.8,61
2017-02-22,0.0,35.3,20.0,27.0,45
2017-02-23,0.0,35.2,20.1,27.6,33
2017-02-24,0.0,35.6,22.2,28.9,28
2017-02-25,0.0,35.4,21.2,28.5,29
2017-02-26,0.0,34.5,21.4,27.8,29
2017-02-27,0.0,34.4,21.2,27.5,26
2017-02-28,0.0,34.5,20.6,26.8,28
2017-03-01,0.0,35.0,20.1,26.8,26
2017-03-02,0.0,34.6,19.3,26.7,25
2017-03-03,0.0,34.8,19.2,26.7,28
2017-03-04,0.0,34.5,18.4,26.4,56
2017-03-05,0.0,34.5,19.4,26.4,54
2017-03-06,0.0,34.6,19.2,26.3,54
2017-03-07,0.0,33.9,19.0,26.1,53
2017-03-08,0.0,34.2,19.2,26.7,40
2017-03-09,0.0,34.8,20.2,27.4,37
2017-03-10,0.0,33.5,20.6,26.8,28
2017-03-11,0.0,33.4,18.6,25.3,34
2017-03-12,0.0,33.3,15.6,24.0,45
2017-03-13,0.0,34.3,17.0,25.5,46
2017-03-14,0.0,34.8,19.4,26.5,51
2017-03-15,0.6,34.0,21.1,27.2,56
2017-03-16,1.1,32.8,21.6,26.5,63
2017-03-17,0.0,34.4,20.5,27.4,53
2017-03-18,0.0,35.5,19.9,27.7,41
2017-03-19,0.0,36.0,20.6,28.0,44
2017-03-20,0.0,36.0,20.6,27.9,46
2017-03-21,0.0,36.1,20.9,28.1,49
2017-03-22,0.0,36.0,21.2,28.6,48
2017-03-23,0.0,36.3,21.5,28.4,55
2017-03-24,0.0,36.1,20.8,28.1,55
2017-03-25,0.0,37.0,21.4,28.8,53
2017-03-26,0.0,37.5,22.0,29.5,49
2017-03-27,0.0,38.8,22.1,30.2,45
2017-03-28,0.0,35.9,22.3,28.6,56
2017-03-29,0.7,36.7,22.6,28.8,59
2017-03-30,0.0,36.0,24.1,29.1,57
2017-03-31,0.0,37.7,22.8,29.5,59
2017-04-01,0.1,35.9,23.9,28.8,61
2017-04-02,0.0,36.3,23.1,29.0,59
2017-04-03,0.3,36.2,23.8,28.9,56
2017-04-04,0.0,36.4,23.5,28.9,55
2017-04-05,0.0,37.2,22.5,28.4,58
2017-04-06,0.0,37.3,22.4,28.9,56
2017-04-07,0.0,37.0,22.8,28.9,57
2017-04-08,0.0,38.2,22.2,29.9,51
2017-04-09,0.3,37.1,23.9,29.9,50
2017-04-10,0.6,36.3,23.2,28.9,60
2017-04-11,0.0,36.6,23.0,29.1,60
2017-04-12,0.2,37.2,22.9,29.2,57
2017-04-13,0.0,37.9,22.1,29.1,57
2017-04-14,0.0,36.3,22.0,28.4,61
2017-04-15,0.0,36.4,23.2,28.6,59
2017-04-16,0.0,36.2,22.0,27.8,63
2017-04-17,0.0,36.5,22.3,28.3,63
2017-04-18,0.0,37.3,22.0,28.6,62
2017-04-19,0.0,36.5,22.4,28.4,64
2017-04-20,0.0,36.8,22.9,28.4,63
2017-04-21,0.0,35.2,22.6,27.6,64
2017-04-22,0.0,35.2,22.1,27.8,59
2017-04-23,0.0,36.3,21.3,27.9,60
2017-04-24,0.0,36.8,21.2,28.2,60
2017-04-25,0.0,37.6,21.5,29.1,54
2017-04-26,0.0,37.3,22.9,29.5,51
2017-04-27,0.0,38.1,22.8,29.4,53
2017-04-28,0.5,35.6,22.6,28.6,58
2017-04-29,0.0,36.0,22.5,28.4,58
2017-04-30,0.5,35.6,21.5,28.4,52
2017-05-01,0.3,36.3,22.5,29.2,39
2017-05-02,0.0,36.0,21.9,28.1,60
2017-05-03,0.0,35.2,22.6,28.4,64
2017-05-04,0.1,35.7,23.5,29.0,61
2017-05-05,0.1,36.3,23.8,29.3,64
2017-05-06,3.8,35.5,24.9,28.8,69
2017-05-07,4.9,35.4,23.2,28.6,66
2017-05-08,0.5,35.0,23.2,28.2,65
2017-05-09,0.2,35.8,24.0,28.3,67
2017-05-10,0.0,35.5,23.2,28.7,63
2017-05-11,0.3,34.5,23.8,28.5,65
2017-05-12,0.9,35.2,23.3,28.7,66
2017-05-13,1.5,36.2,24.9,29.4,63
2017-05-14,1.7,35.0,24.6,28.5,69
2017-05-15,1.7,32.2,24.3,27.4,73
2017-05-16,0.0,35.9,22.5,28.2,64
